country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_gal_tan,ches_economy,ches_redistribute,dalp_short,dalp_id,dalp_left_right,dalp_gal_tan,dalp_economy,dalp_redistribute,dalp_identity,mp_id,mp_short,mp_left_right,wvs_short,wvs_id,wvs_left_right
MUS,3798,MSM,,,,,,,MSM,MUS-4,6.3,4.45,4.27,3.27,2.91,,,,,,
MUS,2463,OPR,,,,,,,OPR,MUS-5,5.43,4.5,4.5,2.67,3,,,,,,
MUS,2461,PMXD,,,,,,,PMXD,MUS-2,7,3.64,4.64,3.18,2.45,,,,,,
MUS,2320,PTR,,,,,,,PT,MUS-1,6,3.64,4,3,2.82,,,,,,
MYS,3637,BN,,,,,,,,,,,,,,,,,BN,458001,6.97
MYS,2486,DAP,,,,,,,PTD,MYS-4,3.1,1.95,4.09,3.18,1.76,,,,DAP,458002,5.54
MYS,2485,Keadilan,,,,,,,Keadilan,MYS-3,3.63,3.8,3.68,2.95,2.86,,,,PKR,458004,6.49
MYS,2484,MCA,,,,,,,PCM,MYS-2,7.84,3.64,4.86,5.76,4.1,,,,,,
MYS,2483,PAS,,,,,,,Islamic,MYS-5,6.2,8.76,3.05,2.95,6.24,,,,PAS,458003,5.81
MYS,2318,UMNO,,,,,,,PKMB,MYS-1,7.65,8.27,3,4.36,7.62,,,,,,
NAM,2358,CD,,,,,,,CD,NAM-2,4.64,3.09,3.64,3,3.42,,,,,,
NAM,2356,DTA,,,,,,,DTA,NAM-3,5.91,4,5.3,3.55,3.33,,,,,,
NAM,2357,NUDO,,,,,,,NUDO,NAM-4,6,4.56,5.22,3.45,3.18,,,,,,
NAM,2331,SWAPO,,,,,,,SWAPO,NAM-1,4.2,6.75,3,3.25,6,,,,,,
NAM,2355,UDF,,,,,,,UDF,NAM-5,5.5,4.44,4.78,3.09,2.9,,,,,,
NER,2351,ANDP,,,,,,,ANDP,NER-4,6.25,6.6,5.4,6.25,3,,,,,,
NER,2352,CDS,,,,,,,CDS-Rahama,NER-2,6,8,5.17,6,3,,,,,,
NER,2350,MNSD—N,,,,,,,MNSD,NER-1,7,6.6,6.33,6.25,1,,,,,,
